2024-11-20 23:02:12.979 [info] Starting Python Locator /root/.vscode-server/extensions/ms-python.python-2024.20.0-linux-x64/python-env-tools/bin/pet server
2024-11-20 23:02:13.281 [info] Discovered env: /bin/python3
2024-11-20 23:02:13.303 [info] Discovered env: /usr/bin/python3
2024-11-20 23:02:13.311 [info] Resolved Python Environment /bin/python3
2024-11-20 23:02:18.410 [info] Locator Conda took 7.376301816s
2024-11-20 23:02:18.410 [info] Locator Homebrew took 163.31µs
2024-11-20 23:02:18.410 [info] Locator LinuxGlobal took 89.170922ms
2024-11-20 23:02:18.410 [info] Locator PipEnv took 127.048µs
2024-11-20 23:02:18.410 [info] Locator Poetry took 64.487626ms
2024-11-20 23:02:18.410 [info] Locator PyEnv took 66.313003ms
2024-11-20 23:02:18.410 [info] Locator Venv took 24.705µs
2024-11-20 23:02:18.410 [info] Locator VirtualEnv took 21.684µs
2024-11-20 23:02:18.410 [info] Locator VirtualEnvWrapper took 26.905µs
2024-11-20 23:02:18.410 [info] Locator GlobalVirtualEnvs took 3.752322ms
2024-11-20 23:02:18.410 [info] Locator Locators took 7.377084854s
2024-11-20 23:02:18.410 [info] Locator Path took 465.654623ms
2024-11-20 23:02:18.410 [info] Locator Workspaces took 5.381695ms
2024-11-20 23:02:18.411 [info] Refresh completed in 7377ms
2024-11-20 23:02:58.240 [info] Resolved Python Environment /bin/python3
2024-11-20 23:03:45.035 [info] Resolved Python Environment /bin/python3
2024-11-20 23:04:24.079 [info] Resolved Python Environment /bin/python3
2024-11-20 23:07:55.824 [info] Resolved Python Environment /bin/python3
2024-11-20 23:08:30.477 [info] Resolved Python Environment /bin/python3
2024-11-20 23:09:59.014 [info] Resolved Python Environment /bin/python3
2024-11-20 23:10:16.474 [info] Resolved Python Environment /root/workspace/venv/bin/python
2024-11-20 23:12:58.669 [info] Resolved Python Environment /root/workspace/github.com/Johnyboi77/Asteroids/venv/bin/python
2024-11-20 23:12:58.785 [info] Resolved Python Environment /bin/python3
2024-11-20 23:27:41.267 [info] Resolved Python Environment /bin/python3
2024-11-20 23:28:27.305 [info] Resolved Python Environment /bin/python3
2024-11-20 23:30:29.936 [info] Resolved Python Environment /bin/python3
2024-11-20 23:31:43.609 [info] Resolved Python Environment /bin/python3
2024-11-20 23:33:09.060 [info] Resolved Python Environment /bin/python3
2024-11-20 23:34:31.619 [info] Resolved Python Environment /bin/python3
2024-11-20 23:35:13.491 [info] Resolved Python Environment /bin/python3
2024-11-20 23:42:54.256 [info] Resolved Python Environment /bin/python3
2024-11-20 23:44:34.392 [info] Resolved Python Environment /bin/python3
2024-11-20 23:45:47.392 [info] Resolved Python Environment /bin/python3
2024-11-20 23:46:54.964 [info] Resolved Python Environment /bin/python3
2024-11-20 23:47:55.598 [info] Resolved Python Environment /bin/python3
2024-11-20 23:49:28.304 [info] Resolved Python Environment /bin/python3
2024-11-20 23:51:41.298 [info] Resolved Python Environment /bin/python3
2024-11-20 23:55:17.706 [info] Resolved Python Environment /bin/python3
2024-11-20 23:57:45.439 [info] Resolved Python Environment /bin/python3
2024-11-20 23:59:13.324 [info] Resolved Python Environment /bin/python3
2024-11-20 23:59:49.523 [info] Resolved Python Environment /bin/python3
